ID,RECORD_ID,DATE_STATION_LINK,DATE,YEAR,MONTH,TIME_24H,STATION_ID,DEPTH_M,CLASS,DISSOLVED_OXYGEN_MG_L,TEMPERATURE_C,SALINITY_PSU,CHLA_UG_L,SECCHI_DEPTH_F,PH,BOD5_MG_L,TSS_MG_L,AMMONIA-AMMONIUM_MG_L,NITRITE_NITRATE_MG_L,PARTICULATE_N_MG_L,ORTHOPHOSPHATE_MG_L,TOTAL_DISSOLVED_ N_MG_L,TOTAL_DISSOLVED_P_MG_L,PARTICULATE_P_MG_L,DOC_MG_L,PARTICULATE_C_MG_L,DISSOLVED_SILICA_MG_L,BIOGENIC_SILICA_MG_L,SAMPLING SURVEY RUN,INVESTIGATION,STATION_ID_B,LISS_STUDY_AREA,EDIT NOTES,CLOUD_COVER,SEA_STATE,FIELD_NOTES,WEATHER,PREV_24_H_RAIN,PREV_48_H_RAIN,TIDE_TIME_NR,TIDE_RANGE_FT_NR,TIDE_TYPE_NR,TIDE_TIME_KP,TIDE_RANGE_FT_KP,TIDE_TYPE_KP
22571,8-405_1/15/2020_9:31_0.5,1/15/2020_8-405,1/15/2020,2020,January,9:31,8-405,0.5,Surface,10.21,5.321,25.55,18.970,7.0,7.39,ND,4.30,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,15-Jan,17985,8-405_S,Little Neck Bay,ND,0,ripples,ND,"sunny, clear",0,0,8:32,8.03,High,8:48,7.95,High
22572,8-403_1/15/2020_9:38_1.5,1/15/2020_8-403,1/15/2020,2020,January,9:38,8-403,1.5,Bottom,9.87,5.738,25.35,ND,7.0,7.35,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,15-Jan,17985,8-403_B,Little Neck Bay,ND,5,< 1 ft,ND,"sunny, clear",0,0,8:32,8.03,High,8:48,7.95,High
22573,8-403_1/15/2020_9:39_0.5,1/15/2020_8-403,1/15/2020,2020,January,9:39,8-403,0.5,Surface,9.93,5.753,24.77,27.417,7.0,7.36,< 3,7.32,0.222,0.442,0.073,0.184,ND,<0.248,<0.10,2.02,0.572,3.97,0.730,15-Jan,17985,8-403_S,Little Neck Bay,ND,5,< 1 ft,ND,"sunny, clear",0,0,8:32,8.03,High,8:48,7.95,High
22574,A2M_1/15/2020_9:48_26.2,1/15/2020_A2M,1/15/2020,2020,January,9:48,A2M,26.2,Bottom,10.29,5.174,26.23,ND,7.0,7.41,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,15-Jan,17985,A2M_B,Upper East River,ND,5,< 1 ft,ND,"sunny, clear",0,0,8:32,8.03,High,8:48,7.95,High
22575,A2M_1/15/2020_9:49_13.1,1/15/2020_A2M,1/15/2020,2020,January,9:49,A2M,13.1,Middle,10.25,5.199,26.11,ND,5.5,7.41,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,15-Jan,17985,A2M_M,Upper East River,ND,5,< 1 ft,ND,"sunny, clear",0,0,8:32,8.03,High,8:48,7.95,High
22576,A2M_1/15/2020_9:50_0.5,1/15/2020_A2M,1/15/2020,2020,January,9:50,A2M,0.5,Surface,10.22,5.279,26.76,18.655,5.5,7.4,< 3,7.36,ND,0.282,0.053,0.153,ND,0.264,<0.10,1.69,0.562,2.92,0.796,15-Jan,17985,A2M_S,Upper East River,ND,5,< 1 ft,ND,"sunny, clear",0,0,8:32,8.03,High,8:48,7.95,High
22577,A1_1/15/2020_10:00_12.2,1/15/2020_A1,1/15/2020,2020,January,10:00,A1,12.2,Bottom,10.14,5.402,25.33,ND,5.0,7.38,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,15-Jan,17985,A1_B,Upper East River,ND,0,< 1 ft,ND,"sunny, clear",0,0,8:32,8.03,High,8:48,7.95,High
22578,A1_1/15/2020_10:01_11.1,1/15/2020_A1,1/15/2020,2020,January,10:01,A1,11.1,Middle,10.11,5.405,25.32,ND,5.0,7.38,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,15-Jan,17985,A1_M,Upper East River,ND,0,< 1 ft,ND,"sunny, clear",0,0,8:32,8.03,High,8:48,7.95,High
22579,A1_1/15/2020_10:02_0.4,1/15/2020_A1,1/15/2020,2020,January,10:02,A1,0.4,Surface,10.1,5.429,25.3,16.193,5.0,7.38,ND,17.9,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,15-Jan,17985,A1_S,Upper East River,ND,0,< 1 ft,ND,"sunny, clear",0,0,8:32,8.03,High,8:48,7.95,High
22580,E-12_1/15/2020_10:14_1.7,1/15/2020_E-12,1/15/2020,2020,January,10:14,E-12,1.7,Bottom,10.59,5.382,25.91,ND,6.0,7.44,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,15-Jan,17985,E-12_B,Eastchester Bay,ND,0,< 1 ft,ND,"sunny, clear",0,0,8:32,8.03,High,8:48,7.95,High
22581,E-12_1/15/2020_10:15_0.5,1/15/2020_E-12,1/15/2020,2020,January,10:15,E-12,0.5,Surface,10.42,5.516,25.58,38.875,6.0,7.5,< 3,6.64,<0.016,0.270,0.054,0.116,ND,<0.248,<0.10,1.93,0.545,2.39,0.569,15-Jan,17985,E-12_S,Eastchester Bay,ND,0,< 1 ft,ND,"sunny, clear",0,0,8:32,8.03,High,8:48,7.95,High
22582,DI-1_1/15/2020_10:27_5.9,1/15/2020_DI-1,1/15/2020,2020,January,10:27,DI-1,5.9,Bottom,10.31,5.112,26.64,ND,7.0,7.43,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,15-Jan,17985,DI-1_B,Westchester Shoreline,ND,0,ripples,ND,"sunny, clear",0,0,8:32,8.03,High,8:48,7.95,High
22583,DI-1_1/15/2020_10:28_3,1/15/2020_DI-1,1/15/2020,2020,January,10:28,DI-1,3,Middle,10.31,5.11,26.64,ND,7.0,7.44,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,15-Jan,17985,DI-1_M,Westchester Shoreline,ND,0,ripples,ND,"sunny, clear",0,0,8:32,8.03,High,8:48,7.95,High
22584,DI-1_1/15/2020_10:29_0.5,1/15/2020_DI-1,1/15/2020,2020,January,10:29,DI-1,0.5,Surface,10.34,5.172,26.63,23.084,7.0,7.44,ND,6.98,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,15-Jan,17985,DI-1_S,Westchester Shoreline,ND,0,ripples,ND,"sunny, clear",0,0,8:32,8.03,High,8:48,7.95,High
22585,DI-2_1/15/2020_10:34_6.9,1/15/2020_DI-2,1/15/2020,2020,January,10:34,DI-2,6.9,Bottom,10.37,5.067,26.78,ND,8.0,7.44,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,15-Jan,17985,DI-2_B,Westchester Shoreline,ND,0,ripples,ND,"sunny, clear",0,0,8:32,8.03,High,8:48,7.95,High
22586,DI-2_1/15/2020_10:35_3.5,1/15/2020_DI-2,1/15/2020,2020,January,10:35,DI-2,3.5,Middle,10.36,5.11,26.7,ND,8.0,7.44,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,15-Jan,17985,DI-2_M,Westchester Shoreline,ND,0,ripples,ND,"sunny, clear",0,0,8:32,8.03,High,8:48,7.95,High
22587,DI-2_1/15/2020_10:38_0.5,1/15/2020_DI-2,1/15/2020,2020,January,10:38,DI-2,0.5,Surface,10.38,5.167,26.69,21.976,8.0,7.44,ND,1.62,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,15-Jan,17985,DI-2_S,Westchester Shoreline,ND,0,ripples,ND,"sunny, clear",0,0,8:32,8.03,High,8:48,7.95,High
22588,H-A3_1/15/2020_10:48_8.5,1/15/2020_H-A3,1/15/2020,2020,January,10:48,H-A3,8.5,Bottom,10.4,5.002,27.3,ND,9.0,7.46,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,15-Jan,17985,H-A3_B,Westchester Shoreline,ND,0,ripples,ND,"sunny, clear",0,0,8:32,8.03,High,8:48,7.95,High
22589,H-A3_1/15/2020_10:49_4.4,1/15/2020_H-A3,1/15/2020,2020,January,10:49,H-A3,4.4,Middle,10.42,4.991,27.2,ND,9.0,7.47,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,15-Jan,17985,H-A3_M,Westchester Shoreline,ND,0,ripples,ND,"sunny, clear",0,0,8:32,8.03,High,8:48,7.95,High
22590,H-A3_1/15/2020_10:50_0.5,1/15/2020_H-A3,1/15/2020,2020,January,10:50,H-A3,0.5,Surface,10.46,5.094,27.07,23.300,9.0,7.47,< 3,3.08,0.440,0.183,0.026,0.120,ND,<0.248,<0.10,1.75,0.328,2.42,0.503,15-Jan,17985,H-A3_S,Westchester Shoreline,ND,0,ripples,ND,"sunny, clear",0,0,8:32,8.03,High,8:48,7.95,High
22591,H-B_1/15/2020_11:03_13.4,1/15/2020_H-B,1/15/2020,2020,January,11:03,H-B,13.4,Bottom,10.29,5.005,27.3,ND,10.0,7.46,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,15-Jan,17985,H-B_B,Westchester Shoreline,ND,0,< 1 ft,ND,"sunny, clear",0,0,8:32,8.03,High,8:48,7.95,High
22592,H-B_1/15/2020_11:03_6.6,1/15/2020_H-B,1/15/2020,2020,January,11:03,H-B,6.6,Middle,10.46,4.981,26.98,ND,10.0,7.47,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,15-Jan,17985,H-B_M,Westchester Shoreline,ND,0,< 1 ft,ND,"sunny, clear",0,0,8:32,8.03,High,8:48,7.95,High
22593,H-B_1/15/2020_11:04_0.5,1/15/2020_H-B,1/15/2020,2020,January,11:04,H-B,0.5,Surface,10.52,5.034,26.97,23.103,10.0,7.47,ND,1.94,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,15-Jan,17985,H-B_S,Westchester Shoreline,ND,0,< 1 ft,ND,"sunny, clear",0,0,8:32,8.03,High,8:48,7.95,High
22594,B1S_1/15/2020_11:13_14.6,1/15/2020_B1S,1/15/2020,2020,January,11:13,B1S,14.6,Bottom,10.38,5.071,27.42,ND,9.0,7.47,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,15-Jan,17985,B1S_B,Mid-LIS Waters,ND,0,ripples,ND,"sunny, clear",0,0,8:32,8.03,High,8:48,7.95,High
22595,B1S_1/15/2020_11:14_7.1,1/15/2020_B1S,1/15/2020,2020,January,11:14,B1S,7.1,Middle,10.5,5.013,27.23,ND,9.0,7.47,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,15-Jan,17985,B1S_M,Mid-LIS Waters,ND,0,ripples,ND,"sunny, clear",0,0,8:32,8.03,High,8:48,7.95,High
22596,B1S_1/15/2020_11:15_0.5,1/15/2020_B1S,1/15/2020,2020,January,11:15,B1S,0.5,Surface,10.52,5.135,27.21,23.717,9.0,7.48,< 3,1.9,0.523,0.173,0.026,0.112,ND,<0.248,<0.10,1.65,0.329,2.4,0.453,15-Jan,17985,B1S_S,Mid-LIS Waters,ND,0,ripples,ND,"sunny, clear",0,0,8:32,8.03,High,8:48,7.95,High
22597,B2_1/15/2020_11:21_18.2,1/15/2020_B2,1/15/2020,2020,January,11:21,B2,18.2,Bottom,9.97,5.114,29.47,ND,10.0,7.42,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,15-Jan,17985,B2_B,Mid-LIS Waters,ND,0,ripples,ND,"sunny, clear",0,0,8:32,8.03,High,8:48,7.95,High
22598,B2_1/15/2020_11:28_8.5,1/15/2020_B2,1/15/2020,2020,January,11:28,B2,8.5,Middle,10.42,4.888,27.26,ND,10.0,7.47,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,15-Jan,17985,B2_M,Mid-LIS Waters,ND,0,ripples,ND,"sunny, clear",0,0,8:32,8.03,High,8:48,7.95,High
22599,B2_1/15/2020_11:27_0.5,1/15/2020_B2,1/15/2020,2020,January,11:27,B2,0.5,Surface,10.51,5.098,27.15,23.751,10.0,7.48,ND,3.56,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,15-Jan,17985,B2_S,Mid-LIS Waters,ND,0,ripples,ND,"sunny, clear",0,0,8:32,8.03,High,8:48,7.95,High
22600,B3M_1/15/2020_11:34_18.2,1/15/2020_B3M,1/15/2020,2020,January,11:34,B3M,18.2,Bottom,9.41,5.085,27.15,ND,10.0,7.43,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,15-Jan,17985,B3M_B,Mid-LIS Waters,ND,0,ripples,ND,"sunny, clear",0,0,8:32,8.03,High,8:48,7.95,High
22601,B3M_1/15/2020_11:36_9.5,1/15/2020_B3M,1/15/2020,2020,January,11:36,B3M,9.5,Middle,10.19,5.037,27.27,ND,10.0,7.46,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,15-Jan,17985,B3M_M,Mid-LIS Waters,ND,0,ripples,ND,"sunny, clear",0,0,8:32,8.03,High,8:48,7.95,High
