ID,RECORD_ID,DATE_STATION_LINK,DATE,YEAR,MONTH,TIME_24H,STATION_ID,DEPTH_M,CLASS,DISSOLVED_OXYGEN_MG_L,TEMPERATURE_C,SALINITY_PSU,CHLA_UG_L,SECCHI_DEPTH_M,PH,BOD5_MG_L,TSS_MG_L,AMMONIA-AMMONIUM_MG_L,NITRITE_NITRATE_MG_L,PARTICULATE_N_MG_L,ORTHOPHOSPHATE_MG_L,TOTAL_DISSOLVED_ N_MG_L,TOTAL_DISSOLVED_P_MG_L,PARTICULATE_P_MG_L,DOC_MG_L,PARTICULATE_C_MG_L,DISSOLVED_SILICA_MG_L,BIOGENIC_SILICA_MG_L,SAMPLING SURVEY RUN,INVESTIGATION,STATION_ID_B,LISS_STUDY_AREA,EDIT NOTES,CLOUD_COVER,SEA_STATE,FIELD_NOTES,WEATHER,PREV_24_H_RAIN,PREV_48_H_RAIN,TIDE_TIME_NR,TIDE_RANGE_FT_NR,TIDE_TYPE_NR,TIDE_TIME_KP,TIDE_RANGE_FT_KP,TIDE_TYPE_KP
19735,9-413_6/27/2017_06:27_1.63,6/27/2017_9-413,6/27/2017,2017,6,6:27,9-413,1.63,Bottom,3.48,20.49,25.37,ND,0.3048,7.20,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,17672,9-413_B,Manhasset Bay,,100,ripples,,"Cloudy, Rain showers",0.00,0.00,9:07,-0.80,Low,9:20,-0.79,Low
19736,9-413_6/27/2017_06:29_0.43,6/27/2017_9-413,6/27/2017,2017,6,6:29,9-413,0.43,Surface,3.41,20.64,24.80,ND,0.3048,7.18,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,17672,9-413_S,Manhasset Bay,,100,ripples,,"Cloudy, Rain showers",0.00,0.00,9:07,-0.80,Low,9:20,-0.79,Low
19737,9-412_6/27/2017_06:40_3.65,6/27/2017_9-412,6/27/2017,2017,6,6:40,9-412,3.65,Bottom,5.08,18.56,25.91,ND,1.3716,7.46,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,17672,9-412_B,Manhasset Bay,,100,ripples,,"Cloudy, Rain showers",0.00,0.00,9:07,-0.80,Low,9:20,-0.79,Low
19738,9-412_6/27/2017_06:42_1.32,6/27/2017_9-412,6/27/2017,2017,6,6:42,9-412,1.32,Middle,7.25,19.95,25.50,ND,1.3716,7.49,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,17672,9-412_M,Manhasset Bay,,100,ripples,,"Cloudy, Rain showers",0.00,0.00,9:07,-0.80,Low,9:20,-0.79,Low
19739,9-412_6/27/2017_06:43_0.59,6/27/2017_9-412,6/27/2017,2017,6,6:43,9-412,0.59,Surface,7.38,19.96,25.49,ND,1.3716,7.57,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,17672,9-412_S,Manhasset Bay,,100,ripples,,"Cloudy, Rain showers",0.00,0.00,9:07,-0.80,Low,9:20,-0.79,Low
19740,9-409_6/27/2017_06:47_3.93,6/27/2017_9-409,6/27/2017,2017,6,6:47,9-409,3.93,Bottom,5.58,18.75,25.83,ND,1.2192,7.51,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,17672,9-409_B,Manhasset Bay,,95,ripples,,"Cloudy, Rain showers",0.00,0.00,9:07,-0.80,Low,9:20,-0.79,Low
19741,9-409_6/27/2017_06:49_1.97,6/27/2017_9-409,6/27/2017,2017,6,6:49,9-409,1.97,Middle,7.27,19.92,25.62,ND,1.2192,7.56,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,17672,9-409_M,Manhasset Bay,,95,ripples,,"Cloudy, Rain showers",0.00,0.00,9:07,-0.80,Low,9:20,-0.79,Low
19742,9-409_6/27/2017_06:50_0.77,6/27/2017_9-409,6/27/2017,2017,6,6:50,9-409,0.77,Surface,7.25,19.93,25.59,ND,1.2192,7.60,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,17672,9-409_S,Manhasset Bay,,95,ripples,,"Cloudy, Rain showers",0.00,0.00,9:07,-0.80,Low,9:20,-0.79,Low
19743,A3_6/27/2017_07:00_19.97,6/27/2017_A3,6/27/2017,2017,6,7:00,A3,19.97,Bottom,2.20,16.33,26.91,ND,1.524,7.35,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,17672,A3_B,Mid-LIS Waters,,95,ripples,,"Cloudy, Rain showers",0.00,0.00,9:07,-0.80,Low,9:20,-0.79,Low
19744,A3_6/27/2017_07:01_10.22,6/27/2017_A3,6/27/2017,2017,6,7:01,A3,10.22,Middle,4.94,16.93,26.75,ND,1.524,7.36,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,17672,A3_M,Mid-LIS Waters,,95,ripples,,"Cloudy, Rain showers",0.00,0.00,9:07,-0.80,Low,9:20,-0.79,Low
19745,A3_6/27/2017_07:02_0.50,6/27/2017_A3,6/27/2017,2017,6,7:02,A3,0.50,Surface,6.00,17.96,26.12,ND,1.524,7.40,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,17672,A3_S,Mid-LIS Waters,,95,ripples,,"Cloudy, Rain showers",0.00,0.00,9:07,-0.80,Low,9:20,-0.79,Low
19746,8-405_6/27/2017_07:22_1.87,6/27/2017_8-405,6/27/2017,2017,6,7:22,8-405,1.87,Bottom,7.63,18.94,24.80,ND,0.9144,7.66,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,17672,8-405_B,Little Neck Bay,,85,ripples,,"Cloudy, Rain showers",0.00,0.00,9:07,-0.80,Low,9:20,-0.79,Low
19747,8-405_6/27/2017_07:23_0.50,6/27/2017_8-405,6/27/2017,2017,6,7:23,8-405,0.50,Surface,7.37,19.13,25.16,ND,0.9144,7.65,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,17672,8-405_S,Little Neck Bay,,85,ripples,,"Cloudy, Rain showers",0.00,0.00,9:07,-0.80,Low,9:20,-0.79,Low
19748,8-403_6/27/2017_07:40_1.22,6/27/2017_8-403,6/27/2017,2017,6,7:40,8-403,1.22,Bottom,7.47,19.54,25.01,ND,0.3048,7.57,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,17672,8-403_B,Little Neck Bay,,80,ripples,,"Cloudy, Rain showers",0.00,0.00,9:07,-0.80,Low,9:20,-0.79,Low
19749,8-403_6/27/2017_07:41_0.59,6/27/2017_8-403,6/27/2017,2017,6,7:41,8-403,0.59,Surface,6.24,19.23,24.14,ND,0.3048,7.51,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,17672,8-403_S,Little Neck Bay,,80,ripples,,"Cloudy, Rain showers",0.00,0.00,9:07,-0.80,Low,9:20,-0.79,Low
19750,A2M_6/27/2017_08:11_29.53,6/27/2017_A2M,6/27/2017,2017,6,8:11,A2M,29.53,Bottom,4.46,16.27,26.93,ND,1.524,7.35,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,17672,A2M_B,Upper East River,,50,ripples,,"Cloudy, Rain showers",0.00,0.00,9:07,-0.80,Low,9:20,-0.79,Low
19751,A2M_6/27/2017_08:12_15.09,6/27/2017_A2M,6/27/2017,2017,6,8:12,A2M,15.09,Middle,4.73,16.70,26.77,ND,1.524,7.34,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,17672,A2M_M,Upper East River,,50,ripples,,"Cloudy, Rain showers",0.00,0.00,9:07,-0.80,Low,9:20,-0.79,Low
19752,A2M_6/27/2017_08:14_0.50,6/27/2017_A2M,6/27/2017,2017,6,8:14,A2M,0.50,Surface,5.57,18.01,25.68,ND,1.524,7.35,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,17672,A2M_S,Upper East River,,50,ripples,,"Cloudy, Rain showers",0.00,0.00,9:07,-0.80,Low,9:20,-0.79,Low
19753,A1_6/27/2017_08:20_12.5,6/27/2017_A1,6/27/2017,2017,6,8:20,A1,12.5,Bottom,5.11,17.43,26.28,ND,1.2192,7.47,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,17672,A1_B,Upper East River,,30,ripples,,"Cloudy, Rain showers",0.00,0.00,9:07,-0.80,Low,9:20,-0.79,Low
19754,A1_6/27/2017_08:21_6.9,6/27/2017_A1,6/27/2017,2017,6,8:21,A1,6.9,Middle,5.31,17.70,26.01,ND,1.2192,7.38,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,17672,A1_M,Upper East River,,30,ripples,,"Cloudy, Rain showers",0.00,0.00,9:07,-0.80,Low,9:20,-0.79,Low
19755,A1_6/27/2017_08:22_0.53,6/27/2017_A1,6/27/2017,2017,6,8:22,A1,0.53,Surface,5.38,18.61,24.89,ND,1.2192,7.35,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,17672,A1_S,Upper East River,,30,ripples,,"Cloudy, Rain showers",0.00,0.00,9:07,-0.80,Low,9:20,-0.79,Low
19756,E12_6/27/2017_08:36_1.56,6/27/2017_E12,6/27/2017,2017,6,8:36,E12,1.56,Bottom,5.72,18.70,26.01,ND,0.762,7.59,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,17672,E12_B,Eastchester Bay,,20,ripples,,"Cloudy, Rain showers",0.00,0.00,9:07,-0.80,Low,9:20,-0.79,Low
19757,E12_6/27/2017_08:38_0.55,6/27/2017_E12,6/27/2017,2017,6,8:38,E12,0.55,Surface,7.47,19.85,25.48,ND,0.762,7.56,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,17672,E12_S,Eastchester Bay,,20,ripples,,"Cloudy, Rain showers",0.00,0.00,9:07,-0.80,Low,9:20,-0.79,Low
19758,DI1_6/27/2017_08:55_4.2,6/27/2017_DI1,6/27/2017,2017,6,8:55,DI1,4.2,Bottom,5.45,17.74,26.30,ND,1.2192,7.58,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,17672,DI1_B, Westchester Shoreline,,20,ripples,,"Cloudy, Rain showers",0.00,0.00,9:07,-0.80,Low,9:20,-0.79,Low
19759,DI1_6/27/2017_08:56_2.11,6/27/2017_DI1,6/27/2017,2017,6,8:56,DI1,2.11,Middle,5.89,17.89,26.44,ND,1.2192,7.45,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,17672,DI1_M,Westchester Shoreline,,20,ripples,,"Cloudy, Rain showers",0.00,0.00,9:07,-0.80,Low,9:20,-0.79,Low
19760,DI1_6/27/2017_08:58_0.55,6/27/2017_DI1,6/27/2017,2017,6,8:58,DI1,0.55,Surface,6.10,17.99,26.41,ND,1.2192,7.43,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,17672,DI1_S,Westchester Shoreline,,20,ripples,,"Cloudy, Rain showers",0.00,0.00,9:07,-0.80,Low,9:20,-0.79,Low
19761,DI2_6/27/2017_09:01_6.39,6/27/2017_DI2,6/27/2017,2017,6,9:01,DI2,6.39,Bottom,5.29,17.31,26.75,ND,1.3716,7.55,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,17672,DI2_B,Westchester Shoreline,,25,ripples,,"Cloudy, Rain showers",0.00,0.00,9:07,-0.80,Low,9:20,-0.79,Low
19762,DI2_6/27/2017_09:03_3.57,6/27/2017_DI2,6/27/2017,2017,6,9:03,DI2,3.57,Middle,5.30,17.72,26.68,ND,1.3716,7.42,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,17672,DI2_M,Westchester Shoreline,,25,ripples,,"Cloudy, Rain showers",0.00,0.00,9:07,-0.80,Low,9:20,-0.79,Low
19763,DI2_6/27/2017_09:04_0.59,6/27/2017_DI2,6/27/2017,2017,6,9:04,DI2,0.59,Surface,5.46,18.09,26.60,ND,1.3716,7.39,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,17672,DI2_S,Westchester Shoreline,,25,ripples,,"Cloudy, Rain showers",0.00,0.00,9:07,-0.80,Low,9:20,-0.79,Low
19764,H-A3_6/27/2017_09:14_7.98,6/27/2017_H-A3,6/27/2017,2017,6,9:14,H-A3,7.98,Bottom,5.24,16.10,27.18,ND,1.3716,7.59,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,17672,H-A3_B,Westchester Shoreline,,20,0.5 ft,,"Cloudy, Rain showers",0.00,0.00,9:07,-0.80,Low,9:20,-0.79,Low
19765,H-A3_6/27/2017_09:16_3.62,6/27/2017_H-A3,6/27/2017,2017,6,9:16,H-A3,3.62,Middle,5.31,16.53,27.11,ND,1.3716,7.50,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,17672,H-A3_M,Westchester Shoreline,,20,0.5 ft,,"Cloudy, Rain showers",0.00,0.00,9:07,-0.80,Low,9:20,-0.79,Low
19766,H-A3_6/27/2017_09:17_0.52,6/27/2017_H-A3,6/27/2017,2017,6,9:17,H-A3,0.52,Surface,6.38,17.30,26.99,ND,1.3716,7.51,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,17672,H-A3_S,Westchester Shoreline,,20,0.5 ft,,"Cloudy, Rain showers",0.00,0.00,9:07,-0.80,Low,9:20,-0.79,Low
19767,H-B_6/27/2017_09:21_12.3,6/27/2017_H-B,6/27/2017,2017,6,9:21,H-B,12.3,Bottom,4.82,15.47,27.27,ND,1.6764,7.56,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,17672,H-B_B,Westchester Shoreline,,30,0.5 ft,,"Cloudy, Rain showers",0.00,0.00,9:07,-0.80,Low,9:20,-0.79,Low
19768,H-B_6/27/2017_09:22_6.55,6/27/2017_H-B,6/27/2017,2017,6,9:22,H-B,6.55,Middle,5.57,16.67,27.02,ND,1.6764,7.49,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,17672,H-B_M,Westchester Shoreline,,30,0.5 ft,,"Cloudy, Rain showers",0.00,0.00,9:07,-0.80,Low,9:20,-0.79,Low
19769,H-B_6/27/2017_09:23_0.52,6/27/2017_H-B,6/27/2017,2017,6,9:23,H-B,0.52,Surface,6.66,17.87,26.67,ND,1.6764,7.51,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,17672,H-B_S,Westchester Shoreline,,30,0.5 ft,,"Cloudy, Rain showers",0.00,0.00,9:07,-0.80,Low,9:20,-0.79,Low
19770,B1S_6/27/2017_09:33_13.6,6/27/2017_B1S,6/27/2017,2017,6,9:33,B1S,13.6,Bottom,5.19,15.40,27.30,ND,1.524,7.57,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,17672,B1S_B,Mid-LIS Waters,,60,1ft,,"Cloudy, Rain showers",0.00,0.00,9:07,-0.80,Low,9:20,-0.79,Low
19771,B1S_6/27/2017_09:34_7.3,6/27/2017_B1S,6/27/2017,2017,6,9:34,B1S,7.3,Middle,5.68,16.40,27.15,ND,1.524,7.51,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,17672,B1S_M,Mid-LIS Waters,,60,1ft,,"Cloudy, Rain showers",0.00,0.00,9:07,-0.80,Low,9:20,-0.79,Low
19772,B1S_6/27/2017_09:36_0.50,6/27/2017_B1S,6/27/2017,2017,6,9:36,B1S,0.50,Surface,7.70,17.90,26.92,ND,1.524,7.64,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,17672,B1S_S,Mid-LIS Waters,,60,1ft,,"Cloudy, Rain showers",0.00,0.00,9:07,-0.80,Low,9:20,-0.79,Low
19773,B2_6/27/2017_09:41_17.1,6/27/2017_B2,6/27/2017,2017,6,9:41,B2,17.1,Bottom,5.17,15.14,27.35,ND,1.8288,7.62,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,17672,B2_B,Mid-LIS Waters,,70,1ft,,"Cloudy, Rain showers",0.00,0.00,9:07,-0.80,Low,9:20,-0.79,Low
19774,B2_6/27/2017_09:42_8.4,6/27/2017_B2,6/27/2017,2017,6,9:42,B2,8.4,Middle,5.25,15.58,27.29,ND,1.8288,7.51,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,17672,B2_M,Mid-LIS Waters,,70,1ft,,"Cloudy, Rain showers",0.00,0.00,9:07,-0.80,Low,9:20,-0.79,Low
19775,B2_6/27/2017_09:43_0.55,6/27/2017_B2,6/27/2017,2017,6,9:43,B2,0.55,Surface,7.81,18.12,26.83,ND,1.8288,7.60,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,17672,B2_S,Mid-LIS Waters,,70,1ft,,"Cloudy, Rain showers",0.00,0.00,9:07,-0.80,Low,9:20,-0.79,Low
19776,B3M_6/27/2017_09:48_16.68,6/27/2017_B3M,6/27/2017,2017,6,9:48,B3M,16.68,Bottom,4.69,15.00,27.35,ND,1.8288,7.56,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,17672,B3M_B,Mid-LIS Waters,,70,0.5 ft,,"Cloudy, Rain showers",0.00,0.00,9:07,-0.80,Low,9:20,-0.79,Low
19777,B3M_6/27/2017_09:49_8.8,6/27/2017_B3M,6/27/2017,2017,6,9:49,B3M,8.8,Middle,4.84,15.70,27.17,ND,1.8288,7.47,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,17672,B3M_M,Mid-LIS Waters,,70,0.5 ft,,"Cloudy, Rain showers",0.00,0.00,9:07,-0.80,Low,9:20,-0.79,Low
19778,B3M_6/27/2017_09:50_0.51,6/27/2017_B3M,6/27/2017,2017,6,9:50,B3M,0.51,Surface,8.02,18.86,26.36,ND,1.8288,7.57,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,17672,B3M_S,Mid-LIS Waters,,70,0.5 ft,,"Cloudy, Rain showers",0.00,0.00,9:07,-0.80,Low,9:20,-0.79,Low
