ID,RECORD_ID,DATE_STATION_LINK,DATE,YEAR,MONTH,TIME_24H,STATION_ID,DEPTH_M,CLASS,DISSOLVED_OXYGEN_MG_L,TEMPERATURE_C,SALINITY_PSU,CHLA_UG_L,SECCHI_DEPTH_F,PH,BOD5_MG_L,TSS_MG_L,AMMONIA-AMMONIUM_MG_L,NITRITE_NITRATE_MG_L,PARTICULATE_N_MG_L,ORTHOPHOSPHATE_MG_L,TOTAL_DISSOLVED_ N_MG_L,TOTAL_DISSOLVED_P_MG_L,PARTICULATE_P_MG_L,DOC_MG_L,PARTICULATE_C_MG_L,DISSOLVED_SILICA_MG_L,BIOGENIC_SILICA_MG_L,SAMPLING SURVEY RUN,INVESTIGATION,STATION_ID_B,LISS_STUDY_AREA,EDIT NOTES,CLOUD_COVER,SEA_STATE,FIELD_NOTES,WEATHER,PREV_24_H_RAIN,PREV_48_H_RAIN,TIDE_TIME_NR,TIDE_RANGE_FT_NR,TIDE_TYPE_NR,TIDE_TIME_KP,TIDE_RANGE_FT_KP,TIDE_TYPE_KP
23807,9-413_1/5/2021_6:43_2.3,1/5/2021_9-413,1/5/2021,2021,January,6:43,9-413,2.3,Bottom,13.61,4.209,25.77,ND,2.5,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Jan-05,18068,9-413_B,Manhasset Bay,,90,ripples,pH probe on YSI EXO1 sonde malfunctioned,"Clear, cold, dry",0,0.12,9:19,0.16,Low,9:37,0.17,Low
23808,9-413_1/5/2021_6:44_1,1/5/2021_9-413,1/5/2021,2021,January,6:44,9-413,1.0,Middle,14.42,4.089,25.14,ND,2.5,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Jan-05,18068,9-413_M,Manhasset Bay,,90,ripples,pH probe on YSI EXO1 sonde malfunctioned,"Clear, cold, dry",0,0.12,9:19,0.16,Low,9:37,0.17,Low
23809,9-413_1/5/2021_6:45_0.5,1/5/2021_9-413,1/5/2021,2021,January,6:45,9-413,0.5,Surface,14.56,4.307,23.60,16.089,2.5,ND,ND,21.79,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Jan-05,18068,9-413_S,Manhasset Bay,,90,ripples,pH probe on YSI EXO1 sonde malfunctioned,"Clear, cold, dry",0,0.12,9:19,0.16,Low,9:37,0.17,Low
23810,9-412_1/5/2021_6:51_4.2,1/5/2021_9-412,1/5/2021,2021,January,6:51,9-412,4.2,Bottom,12.69,4.486,26.41,ND,2.0,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Jan-05,18068,9-412_B,Manhasset Bay,,90,ripples,pH probe on YSI EXO1 sonde malfunctioned,"Clear, cold, dry",0,0.12,9:19,0.16,Low,9:37,0.17,Low
23811,9-412_1/5/2021_6:52_2.1,1/5/2021_9-412,1/5/2021,2021,January,6:52,9-412,2.1,Middle,13.54,4.208,26.04,ND,2.0,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Jan-05,18068,9-412_M,Manhasset Bay,,90,ripples,pH probe on YSI EXO1 sonde malfunctioned,"Clear, cold, dry",0,0.12,9:19,0.16,Low,9:37,0.17,Low
23812,9-412_1/5/2021_6:53_0.5,1/5/2021_9-412,1/5/2021,2021,January,6:53,9-412,0.5,Surface,14.58,4.035,24.97,32.875,2.0,ND,4.14,20.03,0.009,0.1170,0.5180,0.0362,0.39,0.0647,0.116,2.63,2.5100,1.81,0.085,Jan-05,18068,9-412_S,Manhasset Bay,Nutrient samples received more than 28 days from date of collection; NH4 < RL; BioSi < RL,90,ripples,pH probe on YSI EXO1 sonde malfunctioned,"Clear, cold, dry",0,0.12,9:19,0.16,Low,9:37,0.17,Low
23813,9-409_1/5/2021_6:59_4.9,1/5/2021_9-409,1/5/2021,2021,January,6:59,9-409,4.9,Bottom,12.59,4.529,26.50,ND,2.0,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Jan-05,18068,9-409_B,Manhasset Bay,,90,ripples,pH probe on YSI EXO1 sonde malfunctioned,"Clear, cold, dry",0,0.12,9:19,0.16,Low,9:37,0.17,Low
23814,9-409_1/5/2021_7:00_2.4,1/5/2021_9-409,1/5/2021,2021,January,7:00,9-409,2.4,Middle,12.86,4.334,26.25,ND,2.0,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Jan-05,18068,9-409_M,Manhasset Bay,,90,ripples,pH probe on YSI EXO1 sonde malfunctioned,"Clear, cold, dry",0,0.12,9:19,0.16,Low,9:37,0.17,Low
23815,9-409_1/5/2021_7:00_0.5,1/5/2021_9-409,1/5/2021,2021,January,7:00,9-409,0.5,Surface,13.61,4.134,25.68,23.415,2.0,ND,ND,21.92,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Jan-05,18068,9-409_S,Manhasset Bay,,90,ripples,pH probe on YSI EXO1 sonde malfunctioned,"Clear, cold, dry",0,0.12,9:19,0.16,Low,9:37,0.17,Low
23816,A3_1/5/2021_7:10_19.7,1/5/2021_A3,1/5/2021,2021,January,7:10,A3,19.7,Bottom,11.36,4.659,27.35,ND,6.5,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Jan-05,18068,A3_B,Mid-LIS Waters,,90,ripples,pH probe on YSI EXO1 sonde malfunctioned,"Clear, cold, dry",0,0.12,9:19,0.16,Low,9:37,0.17,Low
23817,A3_1/5/2021_7:11_10.1,1/5/2021_A3,1/5/2021,2021,January,7:11,A3,10.1,Middle,11.78,4.566,27.00,ND,6.5,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Jan-05,18068,A3_M,Mid-LIS Waters,,90,ripples,pH probe on YSI EXO1 sonde malfunctioned,"Clear, cold, dry",0,0.12,9:19,0.16,Low,9:37,0.17,Low
